Index,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa)
0,20.0,12.4,61.0,18.0,16.1,101.03
1,19.6,12.7,64.0,17.0,16.1,101.05
2,19.1,12.8,67.0,11.0,16.1,101.08
3,19.1,12.5,65.0,8.0,16.1,101.1
4,20.3,10.5,53.0,4.0,16.1,101.11
5,20.2,9.7,50.0,17.0,16.1,101.12
6,20.3,9.3,49.0,18.0,16.1,101.14
7,20.8,10.1,50.0,18.0,16.1,101.2
8,22.0,11.6,51.0,13.0,16.1,101.25
9,22.2,11.3,49.0,15.0,16.1,101.28
10,22.5,11.9,51.0,15.0,14.5,101.31
11,22.9,11.9,50.0,17.0,16.1,101.31
12,22.4,12.5,53.0,17.0,16.1,101.31
13,22.2,13.9,59.0,11.0,16.1,101.28
14,23.2,14.5,58.0,11.0,16.1,101.24
15,24.8,14.6,52.0,11.0,16.1,101.19
16,24.2,12.9,49.0,5.0,16.1,101.15
17,24.3,13.1,49.0,8.0,16.1,101.11
18,22.0,17.5,75.0,4.0,16.1,101.08
19,22.0,15.2,65.0,4.0,16.1,101.07
20,19.9,16.6,81.0,8.0,16.1,101.08
21,20.1,15.8,76.0,4.0,16.1,101.15
22,18.3,16.0,86.0,5.0,16.1,101.13
23,20.0,13.4,65.0,4.0,16.1,101.16
24,18.2,13.8,75.0,4.0,16.1,101.17
25,20.1,12.7,62.0,5.0,16.1,101.15
26,17.1,13.3,78.0,0.0,16.1,101.14
27,16.5,13.6,83.0,0.0,16.1,101.16
28,16.2,13.5,84.0,0.0,16.1,101.15
29,16.0,13.3,84.0,0.0,16.1,101.17
30,16.8,15.2,90.0,0.0,16.1,101.19
31,19.5,15.9,80.0,0.0,16.1,101.19
32,19.6,15.1,75.0,4.0,16.1,101.19
33,22.0,12.4,54.0,13.0,16.1,101.19
34,22.7,13.2,55.0,9.0,16.1,101.19
35,23.4,12.8,51.0,11.0,16.1,101.17
36,23.5,12.3,49.0,13.0,16.1,101.13
37,24.5,13.4,49.0,11.0,16.1,101.09
38,24.9,13.0,47.0,13.0,16.1,101.07
39,25.0,13.2,47.0,11.0,16.1,100.98
40,24.6,13.0,48.0,9.0,16.1,100.94
41,24.6,15.3,56.0,5.0,16.1,100.87
42,23.7,16.2,62.0,8.0,16.1,100.85
43,22.3,16.3,69.0,9.0,16.1,100.85
44,21.7,16.5,72.0,5.0,16.1,100.87
45,20.2,17.2,83.0,0.0,16.1,100.94
46,20.0,15.7,76.0,0.0,16.1,100.94
47,19.6,15.4,76.0,4.0,16.1,100.9
48,18.8,15.8,83.0,0.0,16.1,100.87
49,21.3,11.7,54.0,4.0,16.1,100.82
50,18.5,13.0,70.0,4.0,16.1,100.8
51,19.0,12.9,67.0,0.0,16.1,100.78
52,18.0,13.2,73.0,4.0,16.1,100.78
53,18.3,12.6,69.0,5.0,16.1,100.79
54,18.7,13.2,70.0,8.0,16.1,100.82
55,20.3,14.5,69.0,5.0,16.1,100.83
56,20.6,14.3,67.0,9.0,16.1,100.87
57,22.3,14.3,60.0,11.0,16.1,100.82
58,22.3,15.2,64.0,9.0,16.1,100.79
59,21.6,17.2,76.0,9.0,16.1,100.74
60,23.1,16.0,64.0,13.0,16.1,100.7
61,22.8,17.1,70.0,9.0,16.1,100.65
62,24.7,15.5,56.0,15.0,16.1,100.58
63,24.1,16.5,62.0,5.0,16.1,100.53
64,25.9,15.8,53.0,11.0,16.1,100.48
65,24.3,17.3,64.0,0.0,16.1,100.44
66,24.0,16.5,62.0,8.0,16.1,100.41
67,23.7,17.6,68.0,5.0,16.1,100.42
68,25.5,17.1,59.0,5.0,16.1,100.47
69,26.1,16.2,54.0,9.0,16.1,100.55
70,25.0,16.0,57.0,9.0,16.1,100.56
71,23.9,16.8,64.0,9.0,16.1,100.56
72,23.0,17.3,70.0,9.0,16.1,100.55
73,22.4,17.7,74.0,13.0,16.1,100.56
74,22.3,18.3,78.0,13.0,16.1,100.56
75,22.5,18.5,78.0,9.0,16.1,100.57
76,22.3,16.7,70.0,15.0,16.1,100.58
77,21.5,15.4,68.0,15.0,16.1,100.62
78,20.8,14.3,66.0,17.0,16.1,100.69
79,21.5,12.5,56.0,17.0,16.1,100.72
80,22.0,11.5,51.0,21.0,16.1,100.75
81,22.0,12.2,53.0,15.0,16.1,100.79
82,22.1,12.6,54.0,15.0,16.1,100.81
83,22.3,11.2,49.0,17.0,16.1,100.79
84,22.3,13.0,55.0,15.0,16.1,100.75
85,23.2,14.2,56.0,11.0,16.1,100.74
86,23.6,13.7,53.0,13.0,16.1,100.72
87,23.4,14.6,57.0,13.0,16.1,100.67
88,23.5,15.2,59.0,9.0,16.1,100.65
89,23.9,14.7,56.0,11.0,16.1,100.62
90,23.6,15.5,60.0,4.0,16.1,100.59
91,22.2,17.0,72.0,5.0,16.1,100.61
92,21.3,16.7,75.0,4.0,16.1,100.62
93,20.4,16.5,78.0,5.0,16.1,100.65
94,22.0,13.3,57.0,9.0,16.1,100.64
95,21.8,6.9,38.0,8.0,16.1,100.66
96,21.1,7.4,41.0,8.0,16.1,100.66
97,20.6,9.1,47.0,4.0,16.1,100.65
98,17.8,12.9,73.0,0.0,16.1,100.64
99,17.7,10.4,62.0,0.0,16.1,100.63
100,17.7,12.1,69.0,5.0,16.1,100.62
101,17.0,12.7,76.0,0.0,16.1,100.62
102,17.8,13.4,75.0,4.0,16.1,100.61
103,20.7,12.2,58.0,0.0,16.1,100.61
104,22.0,13.1,56.0,0.0,16.1,100.62
105,22.1,14.0,60.0,8.0,16.1,100.62
