Index,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa)
0,1.5,-3.6,69.0,39.0,16.1,99.81
1,1.5,-3.9,67.0,35.0,16.1,100.01
2,1.0,-4.3,68.0,32.0,16.1,100.14
3,1.2,-4.3,67.0,37.0,16.1,100.32
4,1.3,-4.4,66.0,28.0,16.1,100.48
5,1.0,-4.1,69.0,30.0,16.1,100.55
6,0.7,-4.4,69.0,35.0,16.1,100.65
7,0.0,-4.8,70.0,28.0,16.1,100.79
8,-0.3,-5.3,69.0,26.0,16.1,100.93
9,-0.1,-5.5,67.0,26.0,16.1,101.06
10,1.0,-5.2,63.0,22.0,16.1,101.18
11,1.9,-5.3,59.0,26.0,16.1,101.27
12,2.6,-5.3,56.0,18.0,16.1,101.22
13,2.6,-5.8,54.0,18.0,16.1,101.23
14,3.0,-5.5,54.0,17.0,16.1,101.21
15,2.9,-5.4,54.0,15.0,16.1,101.29
16,2.8,-4.9,57.0,21.0,16.1,101.38
17,1.8,-4.9,61.0,15.0,16.1,101.45
18,2.2,-4.6,61.0,18.0,16.1,101.59
19,1.2,-3.5,71.0,11.0,16.1,101.6
20,1.6,-2.2,76.0,18.0,16.1,101.66
21,0.7,-3.4,74.0,15.0,16.1,101.73
22,0.9,-2.9,76.0,11.0,16.1,101.76
23,0.6,-3.2,76.0,8.0,16.1,101.77
24,0.9,-2.6,77.0,0.0,16.1,101.75
25,-0.5,-2.7,85.0,4.0,16.1,101.77
26,0.7,-1.9,83.0,13.0,16.1,101.77
27,0.6,-2.6,79.0,17.0,16.1,101.82
28,1.2,-2.2,78.0,22.0,16.1,101.78
29,1.0,-1.4,84.0,15.0,16.1,101.82
30,2.0,0.5,90.0,21.0,12.9,101.77
31,3.0,0.2,82.0,17.0,16.1,101.78
32,2.7,0.1,83.0,26.0,16.1,101.81
33,2.3,0.4,87.0,26.0,16.1,101.75
34,2.4,0.6,88.0,32.0,16.1,101.74
35,4.0,1.7,85.0,24.0,16.1,101.71
36,4.7,0.1,72.0,28.0,16.1,101.61
37,4.2,-0.2,73.0,26.0,16.1,101.54
38,4.1,0.3,76.0,21.0,16.1,101.54
39,4.2,0.4,76.0,30.0,16.1,101.55
40,3.8,0.5,79.0,28.0,16.1,101.44
41,3.9,0.6,79.0,28.0,16.1,101.39
42,3.9,0.9,81.0,21.0,16.1,101.42
43,3.9,1.5,84.0,22.0,16.1,101.33
44,4.0,2.2,88.0,17.0,16.1,101.12
45,4.1,2.3,88.0,13.0,16.1,101.1
46,3.8,2.6,92.0,18.0,12.9,101.04
47,3.6,2.9,95.0,18.0,9.7,100.98
48,3.8,2.9,94.0,18.0,11.3,100.88
49,3.5,2.9,96.0,21.0,6.4,100.8
50,3.9,3.5,97.0,21.0,3.2,100.74
51,4.3,3.7,96.0,18.0,9.7,100.71
52,4.0,3.6,97.0,18.0,4.8,100.6
53,3.8,3.5,98.0,22.0,4.8,100.47
54,3.7,3.4,98.0,21.0,6.4,100.37
