,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
0,0.4034494,-0.1880874,0.16691118,0.37177852,0.26753396,0.16233657,-0.21055958,-0.24250852,0.30407804,0.2434201,0.2154312,-0.23876375,-0.28269124,-0.03774073,-0.08506801,-0.21323907
1,0.33255658,-0.2397243,0.23702222,0.43140912,0.20981228,0.23188132,-0.27000138,-0.24250852,0.23653974,0.32572573,0.27413756,-0.1875731,-0.28269124,-0.03774073,-0.08506801,-0.28063312
2,0.31928623,-0.21757942,0.20699735,0.39929757,0.20184653,0.2039485,-0.24415332,-0.24250852,0.22556888,0.2871402,0.24622644,-0.1785844,-0.28269124,-0.03774073,-0.08506801,-0.25249296
3,0.39002457,-0.24470574,0.24108806,0.4455197,0.25294754,0.23194762,-0.27440828,-0.24250852,0.28615147,0.3344631,0.2810656,-0.22745928,-0.28269124,-0.03774073,-0.08506801,-0.28145498
4,0.23382176,-0.27333316,0.28257143,0.4618556,0.13237156,0.2788054,-0.30839255,-0.24250852,0.14415547,0.37438047,0.30800378,-0.11705861,-0.28269124,-0.03774073,-0.08506801,-0.32497597
5,0.28682935,-0.19390443,0.17529285,0.36149132,0.17860772,0.17420793,-0.21694152,-0.24250852,0.19700575,0.24368186,0.21392845,-0.15634017,-0.28269124,-0.03774073,-0.08506801,-0.22280866
6,0.38953522,-0.19396776,0.17247538,0.375953,0.25651476,0.16608179,-0.21569654,-0.24250852,0.28823254,0.24783406,0.21824518,-0.2282369,-0.28269124,-0.03774073,-0.08506801,-0.21641777
7,0.3136866,-0.16592193,0.13639109,0.3272386,0.20175686,0.13570598,-0.18374446,-0.24250852,0.22215387,0.19734764,0.181098,-0.17556296,-0.28269124,-0.03774073,-0.08506801,-0.18493041
8,0.2996973,-0.19360718,0.17299792,0.36261573,0.18928595,0.17089081,-0.21503486,-0.24250852,0.2070787,0.2422393,0.21359083,-0.16480513,-0.28269124,-0.03774073,-0.08506801,-0.21914627
9,0.28690383,-0.24754266,0.24485834,0.4335702,0.17525601,0.2392097,-0.27670342,-0.24250852,0.19130838,0.33095443,0.27754804,-0.15434404,-0.28269124,-0.03774073,-0.08506801,-0.2863156
10,0.14960296,-0.3549746,0.39148623,0.55914557,0.062122695,0.38441908,-0.40132874,-0.24250852,0.060777523,0.5033234,0.40013433,-0.055385325,-0.22982982,-0.03774073,-0.08506801,-0.42758566
11,0.16710086,-0.4677146,0.54095477,0.7137839,0.066038325,0.5245534,-0.5302204,-0.24250852,0.06763927,0.69093376,0.5357496,-0.064673975,-0.24385346,-0.03774073,-0.08506801,-0.56612194
12,-0.007086878,-0.5511851,0.65650123,0.80219895,-0.072577044,0.64296037,-0.6275898,-0.24250852,-0.09378573,0.8224032,0.62868756,0.059646986,-0.028578153,-0.03774073,-0.08506801,-0.6799251
13,-0.0029333169,-0.60756403,0.73112994,0.8791974,-0.07358426,0.7135417,-0.69174653,-0.24250852,-0.09447024,0.91636664,0.6969116,0.05838858,-0.030412957,-0.03774073,-0.08506801,-0.7493029
14,-0.040864337,-0.61076593,0.7363907,0.87796354,-0.10287601,0.7203281,-0.69599324,-0.24250852,-0.12856598,0.91966593,0.6986075,0.084990434,0.01573292,-0.03774073,-0.08506801,-0.755454
15,-0.076384254,-0.60508275,0.72987485,0.865239,-0.12939356,0.71576905,-0.6898906,-0.24250852,-0.15974663,0.90887874,0.69035345,0.109685466,0.058494367,-0.03774073,-0.08506801,-0.75058347
16,0.030518983,-0.52531654,0.62095106,0.7718705,-0.04259,0.60664535,-0.59770733,-0.24250852,-0.05878738,0.77982545,0.5979319,0.032515608,-0.07488283,-0.03774073,-0.08506801,-0.64503604
17,-0.013613273,-0.41384047,0.47334263,0.6148121,-0.06681576,0.46919164,-0.47022256,-0.24250852,-0.0900645,0.5922167,0.46192983,0.0606183,-0.028261835,-0.03774073,-0.08506801,-0.5086619
18,0.015408545,-0.4176076,0.47736934,0.62336737,-0.04566753,0.47083074,-0.4743072,-0.24250852,-0.06498509,0.5984699,0.46638915,0.04032334,-0.062486447,-0.03774073,-0.08506801,-0.5109584
19,-0.040429015,-0.14978124,0.12201942,0.25252452,-0.06704407,0.13703094,-0.16849351,-0.24250852,-0.0951537,0.1490826,0.14036958,0.07227848,-0.010721214,-0.03774073,-0.08506801,-0.18106273
20,0.055688046,-0.019820653,-0.053212143,0.08925721,0.014870322,-0.034654178,-0.019482767,-0.07130084,-6.2329345e-05,-0.06466001,-0.013949305,0.0011222481,-0.13369736,-0.03774073,-0.08506801,-0.013975822
