LAYER_1,LAYER_2,LOSS_TRAIN,LOSS_TEST
12,7,108.532524,105.64162
13,10,108.52798,105.686
9,10,108.49024,105.71137
8,16,108.44689,105.716606
5,11,108.600044,105.71824
13,2,108.48123,105.72809
14,7,108.48893,105.72854
16,2,108.48823,105.72953
4,11,108.535614,105.73206
5,15,108.49512,105.735344
4,9,108.5636,105.73742
9,4,108.44344,105.73809
8,9,108.43748,105.74403
4,13,108.445526,105.74779
15,3,108.53828,105.75069
5,2,108.475,105.751175
13,7,108.52595,105.75841
12,9,108.4697,105.75897
11,2,108.47141,105.75949
2,5,108.58133,105.761055
4,6,108.52677,105.76178
5,10,108.59528,105.7638
6,8,108.51502,105.76411
7,2,108.58285,105.76561
8,15,108.51516,105.76573
9,3,108.49317,105.76904
14,13,108.49713,105.76932
3,15,108.406334,105.769356
9,5,108.5908,105.76966
3,3,108.517,105.7723
2,6,108.53881,105.77752
14,8,108.53223,105.77792
8,2,108.43555,105.78149
9,15,108.51986,105.78451
11,14,108.42666,105.78505
15,10,108.475426,105.785194
13,8,108.468056,105.788574
10,8,108.555534,105.79259
8,3,108.499535,105.79711
10,3,108.51672,105.797905
11,4,108.57778,105.79806
13,13,108.52639,105.79857
16,3,108.59052,105.80116
7,8,108.61982,105.80186
16,10,108.52996,105.80388
16,6,108.49485,105.80424
2,15,108.45596,105.80437
13,5,108.52713,105.80481
6,5,108.45371,105.805565
2,14,108.46362,105.80748
12,3,108.58997,105.808716
15,16,108.47031,105.80874
16,4,108.53729,105.81022
16,5,108.41153,105.8134
16,12,108.573235,105.814064
11,3,108.60891,105.81413
10,7,108.46,105.814735
12,8,108.51438,105.816216
13,14,108.48056,105.81653
3,16,108.5228,105.817505
2,3,108.49366,105.81769
3,11,108.56805,105.81919
12,10,108.48196,105.82061
15,2,108.48831,105.8208
9,8,108.51471,105.82082
6,12,108.58817,105.82391
11,13,108.510925,105.8242
10,14,108.612305,105.82442
14,14,108.53153,105.82596
9,13,108.38226,105.82668
13,15,108.61382,105.82911
12,2,108.48789,105.82963
5,9,108.46,105.83029
4,2,108.509285,105.83152
16,9,108.523415,105.831856
12,13,108.541374,105.83338
4,15,108.47046,105.83822
9,11,108.49127,105.84147
2,2,108.45947,105.84456
3,6,108.49352,105.84498
7,15,108.707245,105.84521
8,11,108.4765,105.84585
14,11,108.52094,105.846535
8,13,108.4592,105.84791
13,6,108.50204,105.849594
8,12,108.424095,105.851204
5,5,108.584625,105.85264
15,12,108.54117,105.85394
4,3,108.54876,105.854866
10,9,108.58704,105.85865
6,13,108.54891,105.86172
8,5,108.48868,105.86274
13,4,108.43088,105.86554
5,7,108.628845,105.86792
8,6,108.52484,105.86822
4,8,108.47709,105.868866
5,12,108.539894,105.87189
15,14,108.5608,105.874374
4,4,108.47659,105.87552
8,10,108.48104,105.877075
3,8,108.4734,105.87891
15,4,108.527985,105.88177
7,11,108.52533,105.88414
3,12,108.538536,105.884705
2,7,108.47491,105.88518
13,3,108.47155,105.88653
7,12,108.51934,105.887726
10,4,108.50382,105.88782
14,16,108.62323,105.88789
7,14,108.457726,105.88814
5,6,108.454895,105.88818
9,14,108.453514,105.89129
3,5,108.46814,105.89434
6,4,108.592064,105.89524
2,12,108.50588,105.896095
3,14,108.47931,105.89728
15,15,108.4256,105.89773
5,16,108.494415,105.89988
11,15,108.5245,105.90292
7,3,108.51531,105.90606
4,10,108.48068,105.90646
14,3,108.471275,105.90786
12,15,108.5155,105.908745
