LAYER_1,LAYER_2,LOSS_TRAIN,LOSS_TEST
2,2,54.196766,53.55493
11,9,54.196766,53.55493
11,10,54.196766,53.55493
11,11,54.196766,53.55493
11,12,54.196766,53.55493
11,13,54.196766,53.55493
11,14,54.196766,53.55493
11,15,54.196766,53.55493
11,16,54.196766,53.55493
12,2,54.196766,53.55493
12,3,54.196766,53.55493
12,4,54.196766,53.55493
11,8,54.196766,53.55493
12,5,54.196766,53.55493
12,7,54.196766,53.55493
12,8,54.196766,53.55493
12,9,54.196766,53.55493
12,10,54.196766,53.55493
12,11,54.196766,53.55493
12,12,54.196766,53.55493
12,13,54.196766,53.55493
12,14,54.196766,53.55493
12,15,54.196766,53.55493
12,16,54.196766,53.55493
13,2,54.196766,53.55493
12,6,54.196766,53.55493
13,3,54.196766,53.55493
11,7,54.196766,53.55493
11,5,54.196766,53.55493
9,11,54.196766,53.55493
9,12,54.196766,53.55493
9,13,54.196766,53.55493
9,14,54.196766,53.55493
9,15,54.196766,53.55493
9,16,54.196766,53.55493
10,2,54.196766,53.55493
10,3,54.196766,53.55493
10,4,54.196766,53.55493
10,5,54.196766,53.55493
10,6,54.196766,53.55493
11,6,54.196766,53.55493
10,7,54.196766,53.55493
10,9,54.196766,53.55493
10,10,54.196766,53.55493
10,11,54.196766,53.55493
10,12,54.196766,53.55493
10,13,54.196766,53.55493
10,14,54.196766,53.55493
10,15,54.196766,53.55493
10,16,54.196766,53.55493
11,2,54.196766,53.55493
11,3,54.196766,53.55493
11,4,54.196766,53.55493
10,8,54.196766,53.55493
13,4,54.196766,53.55493
13,5,54.196766,53.55493
13,6,54.196766,53.55493
15,6,54.196766,53.55493
15,7,54.196766,53.55493
15,8,54.196766,53.55493
15,9,54.196766,53.55493
15,10,54.196766,53.55493
15,11,54.196766,53.55493
15,12,54.196766,53.55493
15,13,54.196766,53.55493
15,14,54.196766,53.55493
15,15,54.196766,53.55493
15,16,54.196766,53.55493
15,5,54.196766,53.55493
16,2,54.196766,53.55493
16,4,54.196766,53.55493
16,5,54.196766,53.55493
16,6,54.196766,53.55493
16,7,54.196766,53.55493
16,8,54.196766,53.55493
16,9,54.196766,53.55493
16,10,54.196766,53.55493
16,11,54.196766,53.55493
16,12,54.196766,53.55493
16,13,54.196766,53.55493
16,14,54.196766,53.55493
16,3,54.196766,53.55493
15,4,54.196766,53.55493
15,3,54.196766,53.55493
15,2,54.196766,53.55493
13,7,54.196766,53.55493
13,8,54.196766,53.55493
13,9,54.196766,53.55493
13,10,54.196766,53.55493
13,11,54.196766,53.55493
13,12,54.196766,53.55493
13,13,54.196766,53.55493
13,14,54.196766,53.55493
13,15,54.196766,53.55493
13,16,54.196766,53.55493
14,2,54.196766,53.55493
14,3,54.196766,53.55493
14,4,54.196766,53.55493
14,5,54.196766,53.55493
14,6,54.196766,53.55493
14,7,54.196766,53.55493
14,8,54.196766,53.55493
14,9,54.196766,53.55493
14,10,54.196766,53.55493
14,11,54.196766,53.55493
14,12,54.196766,53.55493
14,13,54.196766,53.55493
14,14,54.196766,53.55493
14,15,54.196766,53.55493
14,16,54.196766,53.55493
9,10,54.196766,53.55493
16,15,54.196766,53.55493
9,9,54.196766,53.55493
9,7,54.196766,53.55493
